id,school_id,iern,batches_name,year_received,sources_fund,ecart_laptops,ecart_tablets,ecart_tv,charging_condition,remarks,created_at
1550,302218,2026-25860,DCP2023,2023,DepEd (DCP),46,0,1,Functional,"2 Routers, 1 External HDD, 46 Headset",2026-04-10 00:35:20.784529+00:00
1551,502185,2026-15965,eLearning Cart,2024,DepEd (DCP),46,0,1,Functional,Modem,2026-04-10 00:42:15.193935+00:00
1559,304503,2026-43967,DCP 2022,2022,DepEd (DCP),58,50,4,Functional,"Routers, headphones ",2026-04-10 01:00:56.475640+00:00
1517,502102,2026-08055,DCP 2022-01 e-Learning Cart Package,2024,DepEd (DCP),46,0,1,Functional,,2026-04-09 23:28:22.681480+00:00
1540,312962,2026-33732,Batch 2024-01,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 00:20:41.378028+00:00
1541,312962,2026-33732,Batch 2018-01,2019,DepEd (DCP),0,50,0,Functional,4 tablets needs repair,2026-04-10 00:20:41.385929+00:00
1555,502108,2026-15964,DCP 2022,2022,DepEd (DCP),46,0,1,Functional,,2026-04-10 00:52:21.728078+00:00
1557,502317,2026-05663,DCP_DEPED,2024,DepEd (DCP),46,0,1,Functional,"Routers,Charger,headphones,mouse",2026-04-10 00:58:10.593664+00:00
1565,312405,2026-33585,2018 -1 (E -TB),2018,DepEd (DCP),1,50,0,Functional,,2026-04-10 01:06:57.168562+00:00
1566,312405,2026-33585,Batch 41,2018,DepEd (DCP),1,50,2,Functional,"Host Mini PC Coby, Printer Canon",2026-04-10 01:06:57.249105+00:00
1567,312405,2026-33585,DCP 2023 -1,2023,DepEd (DCP),51,0,1,Functional,"Router 2, Hard drive 1",2026-04-10 01:06:57.309874+00:00
1571,305497,2026-42756,BATCH 2022,2024,DepEd (DCP),46,0,1,Functional,Routers and External Hard Drive,2026-04-10 01:34:59.664935+00:00
1576,301240,2026-17976,Batch 2022,2024,DepEd (DCP),46,0,1,Functional,JHS,2026-04-10 01:48:13.820719+00:00
1564,500092,2026-11838,e-Learning Package,2023,DepEd (DCP),44,0,1,Functional,,2026-04-10 01:03:39.170792+00:00
1579,501184,2026-19675,Batch 2023-01: e-Learning Cart Package,2024,DepEd (DCP),46,0,1,Functional,"With charging cart, external hard drive and router",2026-04-10 01:52:55.948879+00:00
1620,999999,999999,Batch 44,2025,DepEd (DCP),2,0,0,Functional,,2026-04-10 02:19:09.926330+00:00
1537,500165,2026-25263,Batch 2023-01,2025,DepEd (DCP),46,0,1,Functional,"External HDD, Router, Head Phones, Adapters, bags",2026-04-10 00:16:34.985629+00:00
1543,302981,2026-32498,Batch 2018-1,2019,DepEd (DCP),1,50,0,Functional,,2026-04-10 00:21:21.769202+00:00
1719,501738,2026-23509,Batch 2025,2025,DepEd (DCP),46,0,1,Functional,,2026-04-10 03:12:37.169644+00:00
1525,301641,2026-05093,2022,2022,DepEd (DCP),46,0,1,Functional,,2026-04-09 23:59:05.609718+00:00
1586,501771,2026-41595,45,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 01:55:59.322729+00:00
1587,301278,2026-18091,DCP Batch 2024-01 eLearning Package,2024,DepEd (DCP),46,0,1,Functional,"5TB Ext HDD, USB Recovery Flash Drive,TP Link Wifi 6 Router,Charging Cart",2026-04-10 01:56:05.782940+00:00
1588,301278,2026-18091,DCP Batch 2023-03,2024,DepEd (DCP),5,0,0,Functional,USB Recovery Flash Drive,2026-04-10 01:56:05.790159+00:00
1589,301278,2026-18091,TVL Tools and Equipment to Public SHS(Tech. Drafting NC II),2026,DepEd (DCP),22,0,0,Functional,canon PIXMA Multifunction Inkjet Printer,2026-04-10 01:56:05.795110+00:00
1590,303992,2026-39616,Batch 23-01,2024,DepEd (DCP),46,0,1,Functional,"2 charging cart, 1 router,1 external HDD",2026-04-10 01:57:03.586328+00:00
1602,118684,2026-31739,Batch 2025-03,2025,DepEd (DCP),5,0,0,Functional,"headphones, mouse, bag",2026-04-10 02:04:41.906848+00:00
1621,312302,2026-33468,2024,2024,DepEd (DCP),0,46,0,Functional,"EXTERNAL HARD DRIVE, WIRELESS ROUTER,  HEADSET, WIRELESS MOUSE, BAG",2026-04-10 02:19:14.673340+00:00
2379,136367,2026-02076,Batch 24,2016,DepEd (DCP),0,0,0,Functional,,2026-04-10 09:41:03.856588+00:00
2003,316205,2026-42690,Batch 2022,2022,DepEd (DCP),46,0,1,Functional,"Routers, Headphones, External Hard drive ",2026-04-10 05:27:51.085979+00:00
1611,324901,2026-33539,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"Router, storage cart, external hard drive, flash drive(recovery disk)",2026-04-10 02:16:07.781786+00:00
2066,302088,2026-24954,Batch 2024- 01:ELC,2024,DepEd (DCP),46,0,1,Functional,"Wireless mouse, headset, flashdrive, wireless router, harddrive",2026-04-10 06:14:59.282694+00:00
2067,302088,2026-24954,Batch 2023-03:L4T,2024,DepEd (DCP),5,0,0,Non-Functional,"Wireless mouse, headset, flash drive, carrying bag",2026-04-10 06:14:59.303072+00:00
2068,302088,2026-24954,"TVL( Technical Drafting, Cookery)",2026,DepEd (DCP),25,0,1,Non-Functional,"Printer, flash drive, headset, mouse",2026-04-10 06:14:59.309188+00:00
2134,500361,2026-08838,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 07:00:52.444929+00:00
2135,500361,2026-08838,Batch 2022-02,2024,DepEd (DCP),0,0,5,Functional,,2026-04-10 07:00:52.450375+00:00
3454,306808,2026-14465,Batch 2019-03,2020,DepEd (DCP),1,50,0,Functional,"Optical Wireless Mouse, External DVD Writer, Wireless Router, Headset",2026-04-13 07:11:16.282402+00:00
3455,306808,2026-14465,Batch 2023,2024,DepEd (DCP),46,0,1,Functional,"Wireless Mouse, Headphone, Flash Drive, HDMI Cable, External Hard Drive. Router",2026-04-13 07:11:16.289642+00:00
2197,307011,2026-15606,Batch 2023-01,2023,DepEd (DCP),46,0,1,Functional,,2026-04-10 07:37:58.387292+00:00
2198,307011,2026-15606,Batch 2022-01,2022,DepEd (DCP),46,0,1,Functional,,2026-04-10 07:37:58.393508+00:00
2199,307011,2026-15606,Missing Document,2024,DepEd (DCP),20,0,0,Functional,,2026-04-10 07:37:58.399486+00:00
2200,301175,2026-17694,Batch 2019,2021,DepEd (DCP),1,51,0,Functional,,2026-04-10 07:39:26.097198+00:00
2201,301175,2026-17694,Batch 2018,2018,DepEd (DCP),0,0,0,Functional,"monitor, server",2026-04-10 07:39:26.104345+00:00
2202,301175,2026-17694,Batch 2019,2020,DepEd (DCP),51,0,0,Functional,,2026-04-10 07:39:26.109427+00:00
2209,312337,2026-31415,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 07:41:33.767987+00:00
2220,302235,2026-26107,BATCH 2022 -01 E-LEARNING CART PACKAGE,2022,DepEd (DCP),46,0,1,Functional,"46 mouse, 46 headset, 46 chargers, 46 complimwntqry bag, 1 remote control with battery, 1 tv wall bracket, 1 hdmi cable, 2 wireless router, 2 storage charging cart, and 1 external hard drive",2026-04-10 07:46:30.015804+00:00
2237,301106,2026-17091,Batch 2022,2024,DepEd (DCP),46,0,1,Functional,,2026-04-10 07:54:49.451395+00:00
2249,501015,2026-16994,Batch 2022-01,2024,DepEd (DCP),46,0,1,Functional,"Routers, headphones, chargers",2026-04-10 07:59:18.262490+00:00
2266,306401,2026-12797,eLearning Cart Package,2018,DepEd (DCP),0,50,0,Functional,,2026-04-10 08:06:48.662942+00:00
2267,306401,2026-12797,JHS/SHS ICT Package,2021,DepEd (DCP),5,0,0,Functional,,2026-04-10 08:06:48.668523+00:00
2268,306401,2026-12797,Smart TV Package,2022,DepEd (DCP),0,0,5,Functional,,2026-04-10 08:06:48.674453+00:00
5156,303174,2026-33231,Batch 1,2019,DepEd (DCP),26,0,0,Non-Functional,,2026-04-15 01:23:36.818258+00:00
