school_id,ict_desktops_func,ict_desktops_teaching,ict_desktops_total,ict_desktops_working,ict_laptops_func,ict_laptops_teaching,ict_laptops_total,ict_laptops_working,ict_printers_cond,ict_printers_func,ict_printers_total,ict_projectors_cond,ict_projectors_func,ict_projectors_total,ict_smart_tvs_cond,ict_smart_tvs_func,ict_smart_tvs_total,ict_tablets_func,ict_tablets_teaching,ict_tablets_total,ict_tablets_working,util_confirm_no_grid,util_confirm_no_grid_text,util_confirm_no_wired,util_confirm_no_wired_text,util_has_solar_or_gen,util_utility_electricity,util_utility_internet_funder,util_utility_internet_type,util_utility_internet_yesno
135327,0,0,0,0,,0,6,6,,4,5,,0,0,,2,2,0,0,0,0,False,Confirm,False,Confirm,True,Off-grid supply,DepEd Funded (DCP),Satellite,True
131334,0,0,0,0,,6,6,6,,0,0,,0,0,,3,4,0,0,0,0,False,,False,,True,Grid & Off-grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
304179,,0,1,1,,3,3,3,,10,20,,0,0,,23,23,,49,49,0,False,,False,CONFIRM,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
300079,0,0,0,0,,11,46,46,,10,10,,3,3,,5,5,,0,2,2,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
112033,0,0,0,0,,5,6,6,,5,6,,0,0,,6,6,,5,5,5,False,,False,confirm ,True,Grid & Off-grid supply,,,False
304563,,50,50,15,,46,46,46,,9,15,,0,0,,18,20,0,0,0,0,False,,False,CONFIRM,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
125237,0,0,0,0,,3,5,3,,4,4,,0,0,,2,2,,7,7,0,False,,False,CONFIRM,False,Grid supply,DepEd Funded (DCP),Satellite,True
129876,0,0,0,0,,10,12,10,,13,13,,1,1,,12,12,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
109602,,2,2,1,,12,13,9,,8,8,,2,2,,9,10,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
115678,0,0,0,0,0,0,0,0,,8,11,,0,0,,8,10,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
304356,,83,101,83,,50,56,56,,42,42,,0,0,,92,102,,139,139,119,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
173555,0,0,0,0,0,0,0,0,,4,4,,0,0,,5,5,0,0,0,0,False,,False,confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
109979,0,0,0,0,,8,10,8,,6,8,,0,0,,5,5,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
127499,0,0,0,0,,5,7,7,,8,10,,0,0,,0,0,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
117303,,12,12,0,,6,9,5,,10,15,,0,1,,0,2,,27,27,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
136307,,0,19,0,,7,9,7,,9,11,,0,4,,7,9,,0,16,15,False,,False,confirm,False,Grid supply,School MOOE,Satellite,True
102338,0,0,0,0,,6,6,6,,10,10,,0,0,,7,7,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
131415,0,0,0,0,,5,5,5,,3,4,,0,0,,4,5,0,0,0,0,False,,False,confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
120930,0,0,0,0,,4,5,5,,5,5,,1,2,,5,5,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
132762,0,0,0,0,,7,8,5,,8,9,,1,1,,0,0,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
119273,0,0,0,0,,5,5,5,,2,2,,0,0,,0,0,,1,1,1,False,,False,confirm,False,Grid supply,School MOOE,Wireless (4G/5G/Radio),True
132462,0,0,0,0,0,0,1,1,,9,10,,1,1,,5,5,,6,6,4,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
118449,,0,4,4,,7,53,48,,13,16,,0,1,,12,12,0,0,0,0,False,,False,confirm,False,Grid & Off-grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
129295,,0,1,1,,0,1,1,,4,4,,0,0,,4,4,0,0,0,0,False,confirm,False,confirm,False,No electricity,DepEd Funded (DCP),Satellite,True
134560,0,0,0,0,0,0,0,0,,0,1,,0,0,,0,0,0,0,0,0,False,,False,Confirm ,False,Grid supply,,,False
502325,,0,12,12,,5,51,51,,11,11,,0,0,,12,12,0,0,0,0,False,,False,Confirm,False,Grid supply,School MOOE,Satellite,True
135884,0,0,0,0,,11,13,11,,13,13,,0,0,,11,11,0,0,0,0,False,,False,confirm,False,Grid supply,DepEd Funded (DCP),Satellite,True
113095,0,0,0,0,,4,4,2,,15,15,,0,0,,9,9,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
115292,0,0,0,0,,7,8,7,,6,6,,0,0,,7,7,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
115527,0,0,0,0,,3,5,3,,10,10,,0,0,,1,1,0,0,0,0,False,,False,confirm,False,Grid supply,,,False
502104,0,0,0,0,,4,4,4,,11,15,,0,0,,1,1,,15,15,10,False,,False,CONFIRM,False,Grid supply,,,False
107744,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,Grid supply,LGU/Barangay Funded,Wired (Fiber/DSL/Cable),True
131722,0,0,0,0,,2,3,3,,3,3,,0,0,,2,2,0,0,0,0,False,,False,confirm,True,Grid & Off-grid supply,DepEd Funded (DCP),Satellite,True
300319,,1,28,27,,1,12,11,,24,24,,4,4,,4,5,,0,8,8,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
115833,0,0,0,0,,5,6,6,,6,6,,0,0,,9,9,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
104252,,1,1,1,,2,2,0,,5,10,,0,1,,2,3,,5,5,5,False,,False,confirm,False,Grid supply,,,False
118837,0,0,0,0,,5,5,2,,3,5,,0,0,,5,10,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
118158,0,0,0,0,,1,1,1,,5,8,,1,2,,12,12,0,0,0,0,False,,False,,False,Grid supply,School MOOE,Wired (Fiber/DSL/Cable),True
